timestep,oat_mse,enriched_mse
2.180000000000000000e+02,2.891983207291372038e-01,2.553192940592645677e-01
2.190000000000000000e+02,2.899743813556364680e-01,2.501665039156657500e-01
2.200000000000000000e+02,2.899176092457602660e-01,2.419411262484628400e-01
2.210000000000000000e+02,2.828621259777425734e-01,2.388072489136213172e-01
2.220000000000000000e+02,2.849206627694833571e-01,2.361941521149610312e-01
2.230000000000000000e+02,2.761705279121717260e-01,2.518509494478058386e-01
2.240000000000000000e+02,2.713260779044640580e-01,2.441980053972616360e-01
2.250000000000000000e+02,2.711264412509556965e-01,2.443415764469753504e-01
2.260000000000000000e+02,2.723155641353940393e-01,2.504499772572998939e-01
2.270000000000000000e+02,2.740475561863238707e-01,2.405594896510714620e-01
2.280000000000000000e+02,2.685240682937095058e-01,2.314452203269259933e-01
2.290000000000000000e+02,2.852057902218235741e-01,2.240076255391685589e-01
2.300000000000000000e+02,2.862165089257350803e-01,2.270927370730782269e-01
2.310000000000000000e+02,2.803366672428269091e-01,2.292918165873934766e-01
2.320000000000000000e+02,2.788591806368524439e-01,2.332413633212100934e-01
2.330000000000000000e+02,2.855832935793682359e-01,2.491522662614231165e-01
2.340000000000000000e+02,2.839289432364129340e-01,2.435188858876011220e-01
2.350000000000000000e+02,2.849725908550503894e-01,2.444059814791448848e-01
2.360000000000000000e+02,2.927904858640405505e-01,2.476847083513118164e-01
2.370000000000000000e+02,2.891191136913499049e-01,2.607192417628027559e-01
2.380000000000000000e+02,2.901460010386220367e-01,2.604007279207206094e-01
2.390000000000000000e+02,2.996706431295747541e-01,2.606646841076110666e-01
2.400000000000000000e+02,2.842541536007370251e-01,2.621172569846110245e-01
2.410000000000000000e+02,2.833268307691871324e-01,2.643223641598632101e-01
2.420000000000000000e+02,2.800878838537581017e-01,2.633332564339831983e-01
2.430000000000000000e+02,2.819318672704528295e-01,2.619658472127812665e-01
2.440000000000000000e+02,2.827882923107337687e-01,2.569685680592306287e-01
2.450000000000000000e+02,2.978363979347854462e-01,2.628852638506452566e-01
2.460000000000000000e+02,2.950042116549719817e-01,2.619739452064626661e-01
2.470000000000000000e+02,2.933657597735035982e-01,2.597603320873198007e-01
2.480000000000000000e+02,2.981779059983598601e-01,2.675745426052260068e-01
2.490000000000000000e+02,2.986345615930354191e-01,2.780350821180578302e-01
2.500000000000000000e+02,3.042439237249242590e-01,2.760608143578243689e-01
2.510000000000000000e+02,3.109606055051331586e-01,2.754960979539325949e-01
2.520000000000000000e+02,3.073556457253167062e-01,2.744610332491566607e-01
2.530000000000000000e+02,3.043253273427640182e-01,2.643645114802607443e-01
2.540000000000000000e+02,2.846448601871480744e-01,2.649952418760699313e-01
2.550000000000000000e+02,2.848827091811041989e-01,2.726487559012040762e-01
2.560000000000000000e+02,3.027179393057837231e-01,2.636820799265461313e-01
2.570000000000000000e+02,3.020077749392107158e-01,2.633602522562575876e-01
2.580000000000000000e+02,3.071391168863032428e-01,2.615930298953343391e-01
2.590000000000000000e+02,3.050449238171243915e-01,2.670666819480812526e-01
2.600000000000000000e+02,3.082746799081792499e-01,2.688081730807326264e-01
2.610000000000000000e+02,2.941417014881557157e-01,2.680163120759352924e-01
2.620000000000000000e+02,2.922577210053858843e-01,2.748761546546618084e-01
